p_ar_mois,p_ar_vol,p_ar_ash,p_ar_fc,p_ar_sul,u_ar_car,u_ar_nit,u_ar_hyd_exc,u_ar_oxy_exc
27.92,25.87,28.59,17.62,2.86,30.068,1.007,2.376,7.174
28.28,26.64,25.38,19.7,2.9,32.347,1.271,2.545,7.28
28.16,28.52,25.35,17.97,3.453,32.941,1.133,2.545,6.421
27.21,26.96,25.47,20.36,2.868,32.42,1.13,2.513,8.385
29.24,26.59,26.44,17.73,2.462,30.979,1.3,2.378,7.201
30.21,26.65,23.9,19.24,2.661,32.329,1.22,2.448,7.231
27.32,28.1,27.59,16.99,3.191,31.712,1.076,2.584,6.531
27.61,25.93,30.4,16.06,2.533,29.341,1.118,2.404,6.599
27.9,26.22,29.97,15.91,2.469,29.075,1.033,2.371,7.178
26.55,26.88,31.24,15.33,2.739,29.511,1.046,2.31,6.607
28.19,25.94,30.01,15.86,2.71,29.086,1.152,2.195,6.66
28.44,25.92,31.12,14.52,2.408,27.927,1.046,2.162,6.892
27.77,26.59,30.48,15.16,2.485,29.142,1.042,2.229,6.855
28.4,26.91,29.92,14.77,2.269,28.794,1.096,2.216,7.306
28.11,26.52,31.16,14.21,2.421,28.293,1.009,2.169,6.837
28.29,26.49,30.93,14.29,2.313,28.375,1.089,2.182,6.816
28.76,26.03,30.42,14.79,2.876,28.738,1.094,2.221,5.886
27.66,26.92,30.64,14.78,2.419,28.99,1.1,2.233,6.962
28.19,25.81,31.29,14.71,2.869,28.676,1.119,2.261,5.6
28.22,25.48,32.03,14.27,2.827,27.805,1.062,2.19,5.861
27.74,26.46,30.03,15.77,2.66,29.616,1.037,2.283,6.629
28.19,26.41,31.53,13.87,2.869,28.191,1.058,2.196,5.967
29.34,25.22,30.44,15,2.676,28.231,1.155,2.221,5.942
30.94,26.01,26.62,16.43,2.618,29.815,1.136,2.273,6.594
30.39,27.53,24.32,17.76,2.88,32.211,1.079,2.425,6.697
29.83,27.79,24.02,18.36,2.767,32.584,1.094,2.43,7.277
27.51,27.73,27.23,17.53,2.89,31.908,1.092,2.41,6.96
30.44,27.58,23.63,18.35,2.754,32.501,1.162,2.421,7.094
29.83,28.64,23.68,17.85,2.717,32.885,1.11,2.441,7.333
30.66,27.83,23.56,17.95,2.725,32.188,1.108,2.407,7.352
29.66,27.92,24.14,18.28,2.673,32.481,1.152,2.393,7.505
28.78,28.54,23.86,18.82,2.666,33.54,1.186,2.463,7.509
29.94,28.13,22.78,19.15,2.608,33.326,1.166,2.437,7.743
27.49,26.33,30.56,15.62,2.748,28.974,1.084,2.225,6.923
30,28.22,23.75,18.03,2.776,32.789,1.129,2.415,7.144
29.71,28.09,23.37,18.83,2.687,33.015,1.164,2.429,7.627
29.79,28.51,23.02,18.68,2.587,33.174,1.154,2.416,7.858
30.27,28.01,22.38,19.34,2.666,33.6,1.168,2.473,7.447
29.45,28.01,23.42,19.12,2.486,33.056,1.204,2.329,8.054
29.86,27.94,23.02,19.18,2.637,33.354,1.175,2.475,7.48
29.15,27.94,24.27,18.64,2.499,32.438,1.175,2.39,8.08
28.27,28.43,24.79,18.51,2.584,32.674,1.178,2.419,8.082
29.52,27.94,23.78,18.76,2.602,32.659,1.169,2.433,7.837
29.5,28.11,23.29,19.1,2.509,33.097,1.2,2.449,7.955
29.84,27.93,23.37,18.86,2.523,32.544,1.16,2.431,8.133
29.62,28.18,23.62,18.58,2.478,32.401,1.16,2.396,8.322
29.74,28.16,23.07,19.03,2.553,32.944,1.185,2.453,8.05
29.85,28.03,24.73,17.39,2.558,32.049,1.126,2.406,7.286
30.28,27.92,23.77,18.03,2.55,32.217,1.143,2.395,7.648
30.13,27.76,24.24,17.87,2.523,31.918,1.134,2.376,7.679
29.8,27.52,24.33,18.35,2.541,32.162,1.203,2.54,7.42
29.67,28.14,24.49,17.7,2.602,32.275,1.21,2.556,7.194
29.74,28.25,22.41,19.6,2.465,33.806,1.271,2.672,7.637
29.6,28.14,23.27,18.99,2.665,33.374,1.25,2.639,7.197
29.72,28.17,23.9,18.21,2.468,32.73,1.228,2.588,7.366
28.94,28.56,24.04,18.46,2.532,32.881,1.235,2.612,7.756
29.13,27.92,24.58,18.37,2.45,32.535,1.243,2.636,7.429
29.48,27.52,25.36,17.64,2.739,32.016,1.191,2.586,6.63
29.91,28.07,23.25,18.77,2.05,32.501,1.213,2.581,8.493
29.36,28.44,23.29,18.91,2.037,32.853,1.24,2.589,8.631
27.53,26.61,31.09,14.77,2.45,28.644,1.099,2.444,6.746
30.09,28.07,23.38,18.46,2.048,32.414,1.198,2.568,8.3
29.56,28.23,24.26,17.95,2.008,32.033,1.207,2.57,8.364
30.06,28.65,21.61,19.68,2.272,34.312,1.093,2.62,8.038
28.31,28.96,24.6,18.13,2.167,32.52,1.053,2.563,8.792
27.05,27.16,29.27,16.52,2.401,30.279,0.972,2.52,7.505
29.84,28.35,23.06,18.75,2.217,32.818,1.04,2.54,8.49
28.66,28.31,24.14,18.89,2.029,32.716,1.045,2.551,8.863
27.88,28.55,24.27,19.3,2.124,33.127,1.059,2.634,8.908
28.26,28.06,26.6,17.08,2.442,31.286,1.005,2.589,7.816
28.98,27.97,25.22,17.83,2.176,31.739,1.003,2.587,8.299
28.8,26.84,28.33,16.03,2.236,29.59,0.929,2.474,7.639
28.57,27.82,26.33,17.28,2.432,31.187,0.992,2.584,7.902
28.7,26.94,28.3,16.06,2.288,29.595,0.944,2.46,7.718
31.23,26.44,25.93,16.4,2.57,29.689,1.082,2.536,6.964
29.82,28.61,23.19,18.38,2.67,33.142,1.006,2.708,7.46
30.93,28.9,20.82,19.35,2.706,33.991,1.016,2.704,7.833
27.97,27.13,28.83,16.07,2.553,30.086,1.114,2.594,6.857
30.37,26.67,26.76,16.2,2.692,30.004,1.096,2.559,6.515
30.65,28.13,23.65,17.57,2.613,31.683,1.136,2.598,7.675
28.78,27.28,27.65,16.29,2.429,30.205,1.096,2.565,7.277
27.3,28.19,28.62,15.89,2.508,30.614,1.112,2.607,7.237
27.72,27.35,28.67,16.26,2.438,30.585,1.124,2.608,6.858
30.06,29.1,21.66,19.18,2.475,33.893,1.181,2.724,8.003
30.89,28.59,21.23,19.29,2.586,34.008,1.199,2.741,7.349
30.11,29.1,22.32,18.47,2.496,33.256,1.155,2.706,7.96
28.39,27.03,28.15,16.43,2.433,30.086,1.115,2.551,7.275
29.85,29.46,21.42,19.27,2.529,34.211,1.199,2.737,8.052
28.52,27.16,27.76,16.56,2.504,30.314,1.126,2.572,7.201
28.85,29.56,21.56,20.03,2.701,35.088,1.229,2.825,7.745
27.09,27.79,28.43,16.69,2.364,30.622,1.126,2.637,7.734
30.04,28.86,22.09,19.01,2.381,33.545,1.17,2.747,8.025
28.56,27.36,28.09,15.99,2.326,30.004,1.093,2.61,7.321
30.01,29.3,21.55,19.14,2.252,34.055,1.173,2.802,8.157
27.91,27.83,27.68,16.58,2.247,30.83,1.131,2.651,7.555
31.4,28.61,20.48,19.51,2.322,33.868,1.186,2.753,7.992
26.94,27.24,29.09,16.73,2.586,30.479,1.105,2.657,7.144
30.23,29.14,20.89,19.74,2.296,34.293,1.184,2.793,8.315
26.48,26.99,30.17,16.36,2.635,30.02,1.085,2.632,6.974
30.39,28.82,21.45,19.34,2.348,34.154,1.173,2.767,7.72
28.31,27.15,28.41,16.13,2.372,30.08,1.115,2.595,7.116
28.16,27.06,28.74,16.04,2.336,29.901,1.113,2.585,7.166
29.81,29.15,21.02,20.02,2.376,34.752,1.204,2.771,8.067
29.81,29.15,21.02,20.02,2.376,34.752,1.204,2.771,8.067
27.58,27.26,29.15,16.01,2.518,29.995,1.077,2.597,7.08
31.42,28.33,20.19,20.06,2.262,34.266,1.191,2.782,7.888
28.05,27.05,28.52,16.38,2.536,30.242,1.083,2.622,6.946
30.08,28.95,20.42,20.55,2.371,34.831,1.203,2.833,8.258
27.8,27.28,27.59,17.33,2.681,30.986,1.086,2.777,7.08
30.74,28.81,21.17,19.28,2.542,34.062,1.175,2.734,7.575
28.11,27.09,28.85,15.95,2.463,29.951,1.08,2.611,6.937
30.61,29.02,20.64,19.73,2.28,34.28,1.189,2.757,8.243
28.88,26.31,28.04,16.77,2.62,29.712,1.066,2.614,7.067
30.76,28.47,22.71,18.06,2.427,32.612,1.128,2.695,7.672
28.65,26.46,28.21,16.68,2.649,29.886,1.054,2.639,6.913
30.01,28.21,23.9,17.88,2.692,32.263,1.128,2.614,7.39
26.81,26.81,28.88,17.5,2.68,30.597,1.096,2.728,7.204
29.12,28.16,24.17,18.55,2.53,32.881,1.149,2.733,7.417
28.45,26.75,28.1,16.7,2.679,30.405,1.079,2.677,6.606
29.72,27.91,26.22,16.15,2.695,30.991,1.07,2.651,6.653
31.07,28.58,21.55,18.8,2.531,33.501,1.159,2.776,7.413
27.06,27.15,28.92,16.87,2.584,30.399,1.111,2.663,7.26
29.87,27.98,22.22,19.93,2.622,33.927,1.181,2.835,7.343
26.61,28.13,29.46,15.8,2.621,30.566,1.102,2.671,6.976
28.87,28.49,22.66,19.98,2.753,34.27,1.211,2.867,7.365
27.47,26.98,29.85,15.7,2.44,29.507,1.083,2.603,7.051
27.28,27.16,29.11,16.45,2.49,30.456,1.105,2.672,6.891
29.54,28.62,22.6,19.24,2.676,33.877,1.196,2.819,7.295
27.58,28.99,25.02,18.41,2.273,32.629,1.162,2.788,8.547
27.78,28.4,25.96,17.86,2.539,32.004,1.156,2.751,7.81
26.72,29.23,25.99,18.06,2.355,32.472,1.175,2.759,8.532
28.24,28.69,26.26,16.81,2.987,31.72,1.066,2.709,7.023
28.33,28.45,27.56,15.66,3.035,31.192,1.093,2.747,6.044
29.6,28.78,26.22,15.4,2.88,30.586,1.04,2.654,7.024
27.93,27.94,28.2,15.93,2.7,30.506,1.104,2.684,6.878
27.61,27.7,27.15,17.54,2.496,31.301,1.231,2.869,7.345
27.32,27.74,26.36,18.58,2.585,31.946,1.27,2.898,7.624
29.02,29.22,23.17,18.59,2.449,32.903,1.282,2.893,8.283
27.56,28.38,25.08,18.98,2.502,32.858,1.296,2.915,7.793
27.15,28.93,24.44,19.48,2.674,33.605,1.305,2.777,8.053
29.41,26.3,28.95,15.34,2.63,28.681,1.092,2.501,6.735
29.68,28.79,20.46,21.07,2.118,34.918,1.355,2.783,8.685
28.43,29.09,21.33,21.15,2.068,35.438,1.374,2.849,8.508
28.4,29.31,20.14,22.15,2.102,36.044,1.399,2.88,9.039
28.62,28.29,24.89,18.2,2.029,32.27,1.206,2.731,8.258
28.06,26.78,29.74,15.42,2.465,29.128,1.088,2.537,6.987
27.47,27.17,29.14,16.22,2.458,29.756,1.123,2.595,7.455
26.33,28.7,28.85,16.12,3.165,31.027,1.155,2.685,6.792
27.06,27.39,29.91,15.64,2.756,29.511,1.123,2.585,7.052
26.65,28.11,28.4,16.84,2.773,30.954,1.174,2.657,7.392
26.8,27.82,28.26,17.12,2.854,31.338,1.22,2.58,6.952
26.35,28.74,27.99,16.92,3.17,31.778,1.202,2.682,6.826
25.98,28.52,29.15,16.35,2.87,30.917,1.2,2.761,7.119
25.18,28.84,28.8,17.18,2.911,31.911,1.236,2.743,7.214
29.18,27.47,26.06,17.29,2.785,31.154,1.217,2.353,7.247
28.39,27.92,27.75,15.94,2.608,30.349,1.211,2.549,7.141
31.13,24.7,28.85,15.32,2.748,27.355,1.097,2.504,6.32
29.66,26.01,29.98,14.35,2.944,27.679,1.085,2.47,6.186
29.58,26.18,28.18,16.06,2.629,29.143,1.166,2.549,6.751
26.61,28.33,26.26,18.8,3.313,33.197,1.238,2.796,6.585
29.94,29.38,20.38,20.3,2.827,35.164,1.309,2.808,7.574
28.19,27.67,26.73,17.41,2.867,31.084,1.214,2.652,7.263
28.18,27.72,26.72,17.38,2.877,31.544,1.239,2.685,6.75
29.2,26.75,26.77,17.28,2.784,30.438,1.169,2.792,6.852
28.23,27.72,27.61,16.44,2.953,30.845,1.154,2.819,6.392
27.92,26.53,29.99,15.56,2.506,29.05,1.179,2.701,6.653
28.59,26.99,28.26,16.16,2.549,29.837,1.17,2.737,6.852
28.88,28.28,26.83,16.01,2.502,30.596,1.204,2.739,7.247
28.28,27.09,28.23,16.4,2.679,30.157,1.155,2.785,6.718
27.6,27.06,28.97,16.37,2.711,30.012,1.157,2.802,6.752
27.9,27.01,29.13,15.96,2.647,29.669,1.149,2.75,6.758
27.54,25.51,32.16,14.79,2.766,27.425,1.132,2.39,6.591
28.22,26.74,28.9,16.14,2.896,29.678,1.187,2.525,6.592
28.4,26.21,29.76,15.63,2.857,28.78,1.192,2.463,6.546
28.64,26.5,28.99,15.87,2.718,29.301,1.2,2.476,6.674
27.41,27.21,29.37,16.01,2.886,29.924,1.248,2.517,6.646
28.98,28.09,27.55,15.38,2.79,30.277,1.23,2.712,6.461
27.97,29.04,26.57,16.42,2.865,31.808,1.213,2.806,6.765
28.75,27.78,27.97,15.5,3.145,30.05,1.147,2.581,6.359
29.46,27.49,28.02,15.03,3.049,29.464,1.191,2.498,6.315
29.25,28.27,22.97,19.51,2.648,33.381,1.321,2.79,7.64
29.52,27.42,25.97,17.09,2.584,30.962,1.244,2.615,7.11
29.35,26.96,28.7,14.99,2.589,28.813,1.108,2.44,6.994
28.65,27.07,29.77,14.51,2.932,28.872,1.024,2.56,6.191
28.5,27.61,28.02,15.87,2.961,30.296,1.068,2.626,6.531
27.9,26.3,30.17,15.63,2.756,29.172,1.145,2.627,6.23
27.86,26.72,29.61,15.81,2.798,29.468,1.104,2.619,6.54
30.11,25.35,26.4,18.14,2.87,30.499,1.109,2.653,6.365
28.47,25.61,29.51,16.41,2.806,29.184,1.067,2.604,6.357
29.25,25.91,27.23,17.61,2.611,30.07,1.1,2.594,7.144
30.71,26.46,25.61,17.22,2.692,30.564,1.139,2.238,7.042
30.04,26.73,27.72,15.51,2.661,29.391,1.047,2.603,6.536
30.8,27.52,24.91,16.77,2.912,31.052,1.114,2.675,6.537
31.32,25.37,25.86,17.45,2.734,30.103,1.116,2.146,6.717
29.49,26.34,28.08,16.09,2.768,29.38,1.111,2.144,7.03
29.56,26.59,27.29,16.56,2.643,29.651,1.1,2.13,7.622
31.46,27.67,20.93,19.94,2.43,33.783,1.199,2.315,7.878
28.78,29.15,27.15,14.92,2.035,29.923,1.062,1.957,9.096
28.39,27.34,27.62,16.65,2.286,30.562,1.134,2.066,7.939
29.9,26.9,26.34,16.86,2.686,30.136,1.125,2.146,7.664
29.71,26.39,28.26,15.64,2.742,28.912,1.086,2.047,7.243
31.32,26.77,25.29,16.62,2.638,30.284,1.137,2.635,6.694
31.64,27.83,23.68,16.85,2.742,30.977,1.075,2.624,7.266
26.69,24.9,34.08,14.33,2.948,26.898,1.001,2.568,5.818
29.87,27.77,25.61,16.75,2.785,31.052,1.126,2.669,6.89
29.64,28.3,24.79,17.27,2.749,30.018,1.063,2.6,9.145
30.28,27.97,24.92,16.83,2.9,31.567,1.135,2.673,6.523
31.02,27.78,23.99,17.21,2.813,31.589,1.082,2.692,6.813
30.69,26.94,26.06,16.31,2.456,30.292,1.068,2.589,6.848
28.8,28.15,26.3,16.75,2.782,31.508,1.092,2.709,6.804
30.29,26.91,28.44,14.36,2.821,28.818,1.015,2.573,6.039
30.56,27.32,25.92,16.2,2.742,30.693,1.097,2.675,6.314
30.17,27.83,26.36,15.64,2.791,30.515,1.069,2.655,6.445
27.89,29.21,23.04,19.86,2.622,34.389,1.187,2.891,7.98
31.99,25.91,25.54,16.56,2.319,29.593,1.03,2.571,6.957
30.83,28.22,21.22,19.73,2.262,33.598,1.145,2.779,8.165
28.42,25.24,32.91,13.43,2.458,26.213,1.357,1.975,6.671
32.41,27.99,20.21,19.39,2.77,31.481,1.106,2.715,9.304
32.2,27.24,22.75,17.81,3.071,31.173,1.115,2.543,7.147
29.71,25.45,30.07,14.77,2.366,27.985,1.415,2.073,6.38
30.45,26.34,27.12,16.09,2.399,29.519,1.452,2.101,6.955
32.16,27.93,22.52,17.39,2.496,30.916,1.156,2.559,8.192
31.2,26.26,26.7,15.84,2.454,29.08,1.109,2.602,6.852
32.02,26.23,24.27,17.48,2.413,30.477,1.152,2.647,7.024
30.61,27.45,25.53,16.41,2.709,30.414,1.132,2.656,6.951
31.76,27.43,22.67,18.14,2.178,31.668,1.206,2.666,7.853
30.92,29.22,21.49,18.37,2.166,32.919,1.235,2.814,8.461
30.88,28.15,25.03,15.94,2.865,33.443,0.885,2.255,4.644
30.08,27.9,21.74,20.28,2.113,33.708,0.892,2.302,9.165
31.23,27.37,24.3,17.1,2.485,30.879,1.187,2.426,7.495
30.51,28.08,22.47,18.94,2.389,32.843,1.321,2.465,7.998
30.36,27.49,25.32,16.83,2.681,30.442,1.028,2.12,8.048
30.36,27.49,25.32,16.83,2.681,30.868,1.145,2.363,7.262
29.99,29.12,22.04,18.85,2.291,33.082,1.201,2.357,9.035
30.09,28.34,23.49,18.08,2.755,31.879,1.083,2.196,8.507
31.26,28.61,21.36,18.77,2.374,32.374,1.121,2.212,9.294
30.29,28.37,22.22,19.12,2.521,32.86,1.135,2.25,8.721
30.33,28.9,21.47,19.3,2.367,33.247,1.155,2.286,9.145
31.07,27.91,22.53,18.49,2.434,31.775,1.106,2.202,8.884
30.72,28.41,23.82,17.05,2.598,31.086,1.1,2.146,8.529
28.94,29.5,23.51,18.05,2.92,32.996,1.144,2.249,8.245
29.88,27.71,25.2,17.21,2.032,30.863,1.119,2.138,8.772
30.76,28.64,23.84,16.76,2.48,31.087,1.089,2.137,8.607
29.92,28.01,23.07,19,2.229,32.531,1.339,2.327,8.585
29.33,27.08,27.46,16.13,2.623,29.936,1.255,2.222,7.176
29.77,28.84,20.37,21.02,2.061,34.212,1.42,2.405,9.761
29.95,27.82,24.48,17.75,2.373,31.307,1.31,2.259,8.319
30.94,27.55,23.26,18.25,2.332,31.661,1.318,2.278,8.208
30.81,27.3,24.2,17.69,2.392,31.021,1.262,2.255,8.056
31.05,28.3,22.69,17.96,2.854,32.375,1.294,2.325,7.411
30.77,27.43,23.6,18.2,2.303,31.421,1.294,2.265,8.343
30.26,26.8,27,15.94,2.671,29.036,1.212,2.094,7.731
29.95,27.52,27.28,15.25,2.612,29.054,1.212,2.128,7.764
30.73,27.34,25.39,16.54,2.637,30.445,1.125,2.221,7.456
29.25,26.87,30.1,13.78,2.613,27.368,1.167,2.048,7.451
29.79,27.07,26.62,16.52,2.564,29.744,1.272,2.154,7.858
27.74,27.82,28.72,15.72,2.716,29.644,1.279,2.161,7.739
31.01,29.62,20.28,19.09,2.601,34.019,1.278,2.546,8.263
30.87,27.19,26.28,15.66,2.659,29.207,1.251,2.092,7.643
30.53,27.86,24.47,17.14,2.487,31.3,1.21,2.412,7.587
28.49,27.02,30.32,14.17,2.737,27.981,1.24,2.07,7.16
28.49,27.02,30.32,14.17,2.737,28.609,1.111,2.337,6.394
28.84,27.34,28.65,15.17,2.658,29.546,1.123,2.346,6.839
31.19,27.5,25.13,16.18,2.627,30.383,1.271,2.18,7.222
30.51,27.84,25.02,16.63,2.492,30.38,1.279,2.19,8.129
29.89,26.45,28.94,14.72,2.546,27.865,1.054,2.078,7.632
31.4,27.04,25.05,16.51,2.668,29.897,1.099,2.15,7.736
31.82,27.56,24.73,15.89,3.072,30.401,1.081,2.217,6.681
32.83,26.93,22.49,17.75,2.112,31.247,1.204,2.206,7.907
30.52,26.45,26.94,16.09,2.488,29.389,1.147,2.346,7.167
32.04,28.49,19.52,19.95,2.113,33.559,1.291,2.506,8.973
29.88,27.69,24.42,18.01,2.39,31.526,1.229,2.465,8.09
30.14,26.84,25.42,17.6,2.348,30.375,1.168,2.211,8.335
30.14,26.84,25.42,17.6,2.348,30.765,1.201,2.435,7.689
31.03,27.48,25.12,16.37,2.528,30.441,1.172,2.418,7.289
31.82,28.59,19.89,19.7,2.426,33.961,1.281,2.598,8.023
29.51,27.45,27.16,15.88,2.964,30.422,1.153,2.456,6.337
30.18,27.36,27.06,15.4,2.875,29.75,1.148,2.375,6.606
31.28,27.84,23.47,17.41,2.302,31.346,1.195,2.527,7.883
27.47,29.47,26.15,16.91,2.623,32.048,1.215,2.554,7.938
30.37,27.07,27.42,15.14,2.936,29.127,1.02,2.32,6.806
29.4,27.28,27.63,15.69,2.745,29.8,1.107,2.453,6.868
29.98,27.45,25.75,16.82,2.658,30.748,1.146,2.467,7.246
29.7,28.03,24.33,17.94,2.797,31.918,1.165,2.547,7.543
29.2,27.91,26.26,16.63,2.8,30.664,1.136,2.468,7.469
28.15,28.46,25.8,17.59,2.854,31.868,1.155,2.572,7.598
29.67,27.86,24.76,17.71,2.196,31.447,1.127,2.54,8.262
30.58,28.73,22.3,18.39,2.325,32.384,1.139,2.571,8.701
30.33,28.51,23.75,17.41,2.322,31.861,1.203,2.531,8.003
30.02,28.9,22.64,18.44,2.248,32.337,1.128,2.564,9.064
30.6,28.95,20.98,19.47,2.415,32.457,1.211,2.539,9.799
29.1,27.62,24.58,18.7,2.416,31.573,1.254,2.465,8.613
30.2,27.09,24.39,18.32,2.346,30.185,1.129,2.412,9.338
29.77,27.58,23.95,18.7,2.365,32.048,1.328,2.602,7.932
28.32,28.37,27,16.31,3.252,31.146,1.111,2.514,6.656
28.97,27.76,25.99,17.28,2.405,31.134,1.14,2.508,7.854
28.25,28.52,25.5,17.73,2.436,31.903,1.162,2.568,8.179
30.91,28.16,22.21,18.72,2.341,32.423,1.318,2.626,8.168
28.75,28.39,27.56,15.3,2.214,30.917,1.271,2.589,6.697
29.37,28.3,24.08,18.25,2.063,31.928,1.284,2.603,8.668
31.08,28.29,21.9,18.73,2.143,32.501,1.306,2.594,8.476
28.28,28.62,25.85,17.25,2.274,31.424,1.285,2.578,8.307
28.04,28.48,25.83,17.65,2.29,31.121,1.267,2.551,8.898
29.21,28.16,24.59,18.04,2.387,31.618,1.294,2.579,8.322
29.92,27.77,24.93,17.38,2.407,31.333,1.287,2.56,7.561
29.88,29.78,18.34,22,1.747,36.62,1.406,2.812,9.195
29.54,26.45,27.58,16.43,2.929,30.036,1.074,2.456,6.382
29.3,27.79,25.88,17.03,2.696,31.442,1.113,2.512,7.061
30.45,30.17,17.76,21.62,1.703,36.437,1.364,2.739,9.544
29.49,27.03,26.64,16.84,2.445,30.698,1.128,2.492,7.112
29.34,28.29,24.86,17.51,3.712,32.537,1.133,2.642,5.774
29.39,27.27,25.46,17.88,2.463,31.65,1.163,2.56,7.317
29.13,26.81,27.94,16.12,2.532,29.902,1.098,2.488,6.913
28.81,28.53,25,17.66,3.195,32.323,1.142,2.613,6.914
28.89,27.93,25.69,17.49,2.988,31.642,1.13,2.568,7.092
28.43,26.6,28.78,16.19,2.549,29.537,1.073,2.398,7.237
28.16,27.38,29.28,15.18,2.948,29.155,1.077,2.067,7.313
27.98,29,25.45,17.57,3.368,33.536,1.211,2.438,6.018
28.38,28.83,24.62,18.17,2.618,33.782,1.285,2.263,7.051
28.65,26.97,29.19,15.19,2.892,28.627,1.064,2.277,7.297
28.66,29.09,23.78,18.47,3.776,32.452,1.169,2.371,7.79
28.44,29.12,24.1,18.34,2.647,32.136,1.206,2.532,8.938
28.64,26.92,28.94,15.5,2.961,29.021,1.095,2.166,7.172
29.49,29.18,21.13,20.2,3.686,34.454,1.259,2.45,7.534
29.08,28.07,25.86,16.99,2.836,31.35,1.172,2.272,7.434
28.79,27.51,28.29,15.41,2.915,29.513,1.1,2.172,7.222
30.03,28.97,21.88,19.12,3.696,33.696,1.218,2.407,7.075
29.69,27.15,27.41,15.75,2.659,29.72,1.111,2.165,7.246
29.79,26.42,27.88,15.91,2.727,29.012,1.103,2.147,7.345
29.32,28.86,23.31,18.51,3.759,33.216,1.198,2.369,6.828
29.53,26.16,29.26,15.05,2.46,28.557,1.08,2.147,6.964
29.5,25.58,28.98,15.94,2.552,28.332,1.109,2.118,7.405
29.55,27.88,24.44,18.13,2.8,32.485,1.208,2.346,7.168
28.56,26.59,29.09,15.76,2.477,29.012,1.13,2.159,7.574
28.74,26.5,28.63,16.13,2.715,29.315,1.136,2.157,7.309
29.06,26.73,28.16,16.05,2.527,29.395,1.122,2.127,7.606
28.71,27.6,26.94,16.75,2.797,30.546,1.157,2.225,7.622
28.13,27.19,28.84,15.84,3.027,29.738,1.117,2.172,6.98
29.58,28.16,24.22,18.04,2.606,31.943,1.212,2.286,8.155
27.65,28.98,25.5,17.87,3.254,32.683,1.24,2.36,7.308
27.43,28.26,29.23,15.08,3.548,30.341,1.117,2.235,6.101
28.42,29.03,24.92,17.63,3.731,32.996,1.182,2.323,6.423
30.88,28.61,23.57,16.94,2.844,31.675,1.154,2.217,7.66
30.02,26.16,30.04,13.78,2.915,27.156,1.008,2.045,6.817
30.36,28.49,23.22,17.93,3.668,33.159,1.169,2.421,6.004
29.75,27.92,27.46,14.87,3.193,29.857,1.052,2.637,6.049
30.57,25.59,29.45,14.39,2.787,27.8,1,2.134,6.261
30.49,28.94,21.69,18.88,3.927,33.487,1.105,2.424,6.872
30.08,27.89,26.9,15.13,3.154,30.376,0.985,2.265,6.239
30.55,26.16,27.11,16.18,2.654,29.777,1.034,2.249,6.628
30.43,28.46,24.03,17.08,3.426,32.652,1.085,2.385,5.993
29.92,26.12,28.09,15.87,2.639,29.768,1.034,2.289,6.256
28.83,25.18,31.29,14.7,2.754,27.356,0.931,2.127,6.716
29.57,28.66,24.67,17.1,3.49,32.793,1.058,2.414,6.002
29.8,26.64,27.65,15.91,2.867,29.859,0.977,2.264,6.583
29.22,25.88,29.23,15.67,2.716,29.171,0.981,2.255,6.425
28.26,27.77,26.34,17.63,3.466,31.822,1.05,2.385,6.677
28.89,27.1,27.94,16.07,2.76,30,1.021,2.29,7.099
28.31,26.54,30.83,14.32,3.01,28.315,1.053,2.177,6.309
28.25,26.05,30.65,15.05,3.555,28.351,1.017,2.157,6.019
29.47,27.07,27.45,16.01,2.876,30.194,1.112,2.237,6.665
27.94,27.72,28.3,16.04,3.651,30.674,1.094,2.278,6.068
29.16,28.35,23.94,18.55,3.685,33.448,1.183,2.438,6.149
28.21,27.26,28.99,15.54,3.055,30.19,1.081,2.254,6.224
27.89,26.49,31.48,14.14,3.226,28.291,1.059,2.125,5.932
27.66,28.27,27.08,16.99,3.824,32.178,1.146,2.348,5.768
28.67,27.82,27.71,15.8,3.122,30.714,1.106,2.247,6.432
27.88,26.28,30.53,15.31,3.168,28.919,1.067,2.179,6.254
27.61,29.19,27.42,15.78,3.942,32.18,1.134,2.347,5.365
29.42,26.1,28.15,16.33,3.252,29.581,0.917,2.326,6.354
27.86,28.68,26.8,16.66,3.864,31.834,0.966,2.408,6.265
29.16,25.97,29.82,15.05,2.938,28.646,0.908,2.244,6.288
29.11,26.37,28.95,15.57,2.938,29.405,0.921,2.291,6.382
28.36,25.82,29.52,16.3,3.314,28.963,0.902,2.299,6.648
28.06,28.65,26.34,16.95,4.19,32.242,0.984,2.438,5.749
29.09,25.97,28.69,16.25,2.967,29.208,0.917,2.275,6.85
26.92,25.71,31.31,16.06,2.941,28.909,1.081,2.328,6.516
27.95,28.09,28.08,15.88,3.987,31.039,1.088,2.389,5.471
28.41,26.52,29.33,15.74,3.191,29.523,1.072,2.313,6.163
28.82,28.19,25.45,17.54,3.933,32.608,1.121,2.489,5.58
27.74,26.26,30.39,15.61,2.869,29.128,1.085,2.301,6.484
28.56,28.91,25.16,17.37,4.185,32.485,1.093,2.425,6.089
27.64,26.23,29.71,16.42,2.836,29.577,1.053,2.32,6.862
27.86,29.23,26.06,16.85,4.456,32.397,1.041,2.462,5.721
27.37,26.78,30.64,15.21,2.768,29.105,1.032,2.323,6.766
27.89,26.27,30.78,15.06,3.315,28.362,0.969,2.269,6.413
28.27,25.99,30.41,15.33,2.822,28.625,1.087,2.257,6.525
