p_ar_mois,p_ar_vol,p_ar_ash,p_ar_fc,p_ar_sul,u_ar_car,u_ar_nit,u_ar_hyd_exc,u_ar_oxy_exc
27.56,25.93,29.86,16.65,2.819,29.395,1.069,1.999,7.294
30.66,26.68,26.72,15.94,2.928,29.642,0.945,1.602,7.506
28.85,26.01,30.14,15,2.977,28.184,1.012,1.779,7.058
28.64,26.68,28.07,16.61,2.859,30.119,1.106,1.771,7.439
30.12,28.55,26.02,15.31,3.446,30.714,0.977,1.579,7.139
32.28,28.13,26.49,13.1,3.342,28.74,0.882,1.073,7.19
32.5,28.33,25.4,13.77,3.395,29.503,0.898,1.082,7.227
32.24,28.79,24.48,14.49,3.499,30.377,0.927,1.568,6.91
32.22,27.61,24.48,15.69,3.559,30.656,0.976,1.55,6.557
28.11,27.22,27.56,17.11,2.817,30.733,1.109,1.372,8.297
27.52,27.99,29.46,15.03,3.591,29.683,0.969,1.374,7.401
27.24,27.91,27.78,17.07,2.981,31.221,1.138,1.165,8.477
27.88,27.59,26.87,17.66,2.891,31.399,1.155,1.325,8.48
30.36,26.68,26.04,16.92,2.973,30.314,1.04,1.648,7.63
28.11,26.69,29.16,16.04,2.853,29.512,1.066,1.129,8.175
27.58,26.58,29.89,15.95,2.832,29.262,1.056,1.158,8.22
30.69,25.83,26.66,16.82,3.088,30.058,1.051,1.516,6.935
30.36,26.34,26.65,16.65,2.845,29.854,1.095,1.086,8.109
30.75,28.21,27.08,13.96,3.338,29.366,0.956,1.415,7.095
29.12,25.33,30.35,15.2,2.768,27.922,1.024,1.37,7.445
28.76,26.27,30.44,14.53,3.142,28.167,0.985,1.007,7.495
30.56,26.97,26.05,16.42,2.918,30.306,1.089,0.91,8.163
30.17,26.77,26.81,16.25,2.955,30.128,1.094,1.148,7.693
28.67,26.27,29.39,15.67,2.811,29.124,1.034,1.207,7.762
30.7,28.94,23.82,16.54,3.488,31.962,1.038,1.12,7.873
28.24,27,27.68,17.08,2.851,30.632,1.049,1.347,8.206
28.58,26.67,27.56,17.19,2.866,30.705,1.055,1.255,7.977
29.95,28.08,22.31,19.66,2.916,33.44,1.204,1.671,8.504
30.57,26.33,28.3,14.8,2.853,28.299,1.021,1.23,7.727
31.12,29.65,20.97,18.26,3.346,34.045,1.085,1.331,8.101
31.83,27.2,22.96,18.01,2.832,31.746,1.185,1.248,8.204
32.57,26.68,25.5,15.25,2.771,30.829,1.09,0.935,6.304
32.33,27.04,24.65,15.98,2.8,29.866,1.191,0.921,8.247
34.24,26.27,24.31,15.18,2.781,28.966,1.165,0.905,7.63
30.13,27.52,27.41,14.94,3.853,29.65,1.01,1.197,6.754
31.44,28.39,23.59,16.58,3.603,31.514,1.086,1.283,7.485
31.27,28.59,23.02,17.12,3.744,32.121,1.089,1.215,7.543
30.97,27.96,26.72,14.35,3.404,29.507,1.015,1.069,7.317
30.25,26.76,28.38,14.61,3.288,28.318,0.973,1.598,7.198
31.61,25.96,25.01,17.42,3.031,29.754,1.079,1.653,7.862
31.68,26.56,24.57,17.19,2.989,29.824,1.082,1.7,8.159
31.31,26.57,25.96,16.16,3.129,28.981,1.064,1.75,7.808
31.6,26.43,27.14,14.83,3.339,28.174,0.968,1.513,7.266
30.39,26.85,25.55,17.21,3.105,29.963,1.053,1.706,8.23
32.27,26.5,24.88,16.35,2.978,29.384,1.047,1.636,7.804
29.86,25.41,31.47,13.26,3.278,25.712,0.956,1.3,7.426
31.56,26.86,25.26,16.32,2.909,29.275,1.08,1.342,8.577
31.52,27.23,24.61,16.64,2.858,29.528,1.078,1.288,9.123
31.16,26.99,26.28,15.57,2.767,28.737,1.056,1.304,8.7
29.59,25,31.22,14.19,3.137,26.082,0.993,1.349,7.624
31.4,26.79,25.5,16.31,2.884,29.137,1.057,1.45,8.574
31.37,26.92,25.34,16.37,2.909,29.648,1.075,1.46,8.195
31.58,25.86,28.63,13.93,2.706,27.16,1.088,1.518,7.321
31.88,25.39,28.46,14.27,2.804,27.284,1.017,1.707,6.845
32.96,25.46,27.11,14.47,2.805,27.563,0.975,1.492,7.098
32.38,26.89,24.55,16.18,2.714,29.815,1.065,1.85,7.627
32.85,27.38,26.32,13.45,3.228,27.616,0.945,1.358,7.687
31.97,25.61,26.83,15.59,2.803,27.696,1.032,1.349,8.324
32.78,25.84,25.62,15.76,2.799,28.417,1.066,1.303,8.012
31.41,24.88,28.98,14.73,2.811,26.518,1.008,1.211,8.062
29.9,28.08,29.91,12.11,3.441,27.523,0.915,1.752,6.554
30.44,26.42,26.25,16.89,2.907,32.47,1.12,1.608,5.208
30.15,26.75,26.83,16.27,2.953,32.036,1.129,1.229,5.672
29.97,26.68,27.36,15.99,2.957,32.269,1.104,1.046,5.297
33.08,27.25,25.79,13.88,3.36,27.145,0.954,1.531,8.142
29.63,26.46,27.46,16.45,2.907,28.913,1.08,1.57,8.439
29.6,26.5,28.15,15.75,2.888,28.362,1.068,1.502,8.432
30.3,25.36,29.22,15.12,2.804,26.985,1.042,1.256,8.395
31.51,26.76,27.66,14.07,3.476,27.546,0.939,1.245,7.622
30.8,26.46,26.62,16.12,2.691,28.807,1.115,1.243,8.724
30.39,26.43,27.16,16.02,2.829,28.626,1.119,1.26,8.62
34.62,26.58,24.63,14.17,3.628,28.183,0.987,1.354,6.596
31.04,26.15,25.87,16.94,2.81,29.111,1.132,1.576,8.463
30.97,26.22,26.56,16.25,2.95,28.874,1.101,1.397,8.144
30.83,26.47,26.66,16.04,2.935,28.925,1.108,1.438,8.105
31.56,26.95,27.67,13.82,3.519,28.529,0.994,1.483,6.241
30.25,26.35,27.2,16.2,2.865,28.708,1.135,1.103,8.741
30.98,26.32,24.96,17.74,2.901,29.988,1.149,1.133,8.892
30.55,26.66,25.33,17.46,3.001,30.1,1.17,1.126,8.726
31.52,26.81,28.42,13.25,3.678,27.241,0.955,1.173,7.009
31.01,25.04,28.07,15.88,3.138,28.228,1.056,1.608,6.893
31.25,26.29,27.58,14.88,2.844,27.578,1.095,1.181,8.47
30.97,25.7,29.14,14.19,3.462,27.525,0.973,1.569,6.365
28.5,26.99,30.26,14.25,2.825,27.59,1.098,1.447,8.283
28.73,27.02,29.93,14.32,2.746,28.476,1.063,1.782,7.268
29.58,26.51,28.53,15.38,2.772,28.196,1.124,1.336,8.459
30.22,26.7,28.85,14.23,3.712,27.62,1.004,1.335,7.254
29.19,27.05,28.01,15.75,2.95,28.176,1.118,1.358,9.197
29.25,27.41,27.36,15.98,2.933,29.671,1.118,1.924,7.739
30.8,27.63,26.8,14.77,3.644,29.738,0.981,1.901,6.14
29.79,27.31,25.62,17.28,2.998,29.56,1.127,1.202,9.707
31.1,25.21,28.28,15.41,2.916,27.552,1.135,1.534,7.483
32.09,24.86,27.26,15.79,2.78,27.519,1.11,1.539,7.698
31.2,26.91,29.23,12.66,3.552,26.841,0.994,1.424,6.762
31.25,26.28,27.98,14.49,2.957,27.796,1.138,1.477,7.406
32.11,26.43,25.46,16,2.913,28.458,1.116,1.489,8.456
29.14,27.08,31.23,12.55,3.35,27.371,1.013,1.682,6.212
29.03,25.32,31.68,13.97,2.955,25.92,1.033,1.557,7.826
28.69,25.44,31.03,14.84,3.009,27.822,1.091,1.665,6.692
28.78,25.51,30.94,14.77,3.032,27.642,1.067,1.675,6.865
28.6,27.62,30.27,13.51,3.464,28.095,0.975,1.788,6.807
28.56,26.75,32.39,12.3,3.163,25.475,1.006,1.181,8.228
29.29,27.07,28.39,15.25,2.998,27.731,1.076,1.281,9.232
29.31,27,29.07,14.62,3.029,27.286,1.024,1.202,9.079
31.5,24.91,28.72,14.87,2.703,27.076,1.048,1.676,7.281
31.12,25.41,28.41,15.06,2.725,27.51,1.091,1.604,7.541
31,26.18,27.87,14.95,2.79,28.388,1.061,1.692,7.196
30.63,25.18,28,16.19,2.582,28.604,1.111,1.805,7.268
29.06,26.79,32.34,11.81,3.514,26.094,0.885,1.583,6.527
28.91,26.5,30.58,14.01,3.156,27.751,1.026,1.867,6.706
28.77,26.65,28.38,16.2,2.61,29.164,1.259,1.735,8.084
29.24,26.81,27.64,16.31,2.604,29.352,1.219,1.682,8.265
32.08,26.39,25.33,16.2,2.752,29.56,1.216,1.383,7.684
31.5,26.53,26.17,15.8,2.873,29.403,1.104,1.486,7.464
32.1,25.82,26.31,15.77,2.929,29.308,1.096,1.295,6.967
28.65,26.38,30.55,14.42,3.602,27.92,0.977,1.551,6.745
29.96,27.05,26.34,16.65,3.167,30.284,1.077,1.649,7.522
29.42,27.48,26.05,17.05,3.109,30.97,1.11,1.671,7.673
29.39,27.28,26.48,16.85,3.147,30.549,1.109,1.698,7.624
32.03,25.86,28.67,13.44,3.369,27.125,0.948,1.176,6.682
32.83,25.69,26.28,15.2,2.883,28.679,1.067,1.24,7.024
32.95,25.82,25.13,16.1,2.891,29.311,1.083,1.359,7.276
32.74,26,24.82,16.44,2.881,29.814,1.109,1.366,7.27
29.99,27.01,27.46,15.54,2.934,29.476,1.077,1.594,7.469
30.22,27.29,25.59,16.9,2.91,30.658,1.138,1.543,7.937
31.77,25.89,28.64,13.7,3.126,27.396,1.009,1.295,6.761
30.58,26.21,27.49,15.72,3.329,29.04,1.062,1.441,7.056
