p_mois,p_vol,p_ash,p_car,p_sul,u_car
14.26,33.905,32.64,19.195,3.98,36.845
13.88,32.915,34.04,19.165,3.769,35.75
14.23,32.67,34.09,19.01,4.03,35.64
14.24,33.685,32.635,19.44,3.882,36.685
13.805,32.8,34.345,19.05,3.733,35.205
13.435,32.68,35.205,18.68,3.806,35.13
14.335,32.23,35.125,18.31,3.438,35.36
14.115,31.54,34.435,19.91,3.462,36.715
14.81,31.67,35.35,18.17,3.712,34.085
18.625,31.57,31.47,18.335,3.53,34.28
18.025,32.125,31.485,18.365,3.82,34.545
17.22,31.9,30.97,19.91,3.495,35.825
16.465,33.18,29.79,20.565,3.52,37.01
16.01,30.635,37.685,15.67,3.275,31.485
16.54,31.72,32.51,19.23,3.465,34.78
16.335,32.405,31.65,19.61,3.415,35.7
18.465,30.73,33.12,17.685,3.488,33.08
18.19,31.725,31.705,18.38,3.488,34.445
18.68,31.43,31.305,18.585,3.468,35.365
19.035,30.36,32.92,17.685,3.802,32.68
14.7,32.285,33.715,19.3,3.662,35.325
14.15,32.775,32.31,20.765,3.711,36.89
13.985,33.02,33.25,19.745,3.813,36.44
16.225,30.93,34.45,18.395,3.345,33.87
16.34,31.72,33.665,18.275,3.33,34.725
14.79,32.015,37.395,15.8,3.35,32.72
17.455,33.22,30.175,19.15,3.965,36.015
17.775,31.92,30.6,19.705,3.705,35.91
16.905,33.03,34.275,15.79,3.816,33.26
17.57,32.42,30.27,19.74,3.564,36.135
18.5,31.46,31.445,18.595,3.416,35.22
14.895,32.475,33.265,19.365,3.473,35.835
14.165,30.375,37.49,17.97,3.765,32.26
18.43,31.535,30.785,19.25,3.454,34.975
18.27,31.425,26.84,23.465,3.29,46.12
17.38,30.765,31.28,20.575,3.425,41.68
19.635,30.91,28.385,21.07,3.235,43.04
19.345,31.57,27.19,21.895,3.045,45.04
17.595,31.845,33.2,17.36,3.37,33.78
15.84,30.885,33.34,19.935,3.34,34.34
15.585,30.985,34.525,18.905,3.526,33.835
17.165,32.845,34.905,15.085,3.917,32.225
16.85,32.7,31.21,19.24,3.473,35.92
16.045,31.145,35.495,17.315,3.496,33.13
13.72,32.99,34.19,19.1,3.827,35.485
14.15,33.195,34.85,17.805,3.937,34.98
16.35,32.2,32.155,19.295,3.744,35.62
15.32,33.165,31.535,19.98,3.604,36.28
13.18,29.405,41.735,15.68,3.531,30.165
13.075,32.415,38.505,16.005,4.111,32.86
13.53,30.14,36.12,20.21,3.673,34.35
13.17,30.025,36.43,20.375,3.611,34.16
13.315,31.225,38.435,17.025,3.698,32.57
12.67,32.365,36.21,18.755,3.699,34.835
12.005,32.96,37.025,18.01,3.907,34.555
13.29,32.67,35.675,18.365,3.991,34.88
14.005,34.355,35.18,16.46,3.908,34.62
14.1,32.225,35.95,17.725,3.67,33.98
15.115,29.675,39.005,16.205,3.501,30.975
14.425,31.475,37.165,16.935,3.571,33.08
14.73,31.915,34.73,18.625,3.489,34.69
12.335,34.485,35.645,17.535,4.146,35.9
11.74,33.08,34.6,20.58,3.755,37.14
14.55,32.935,30.545,21.97,3.894,38.07
12.345,34.69,34.625,18.34,4.027,36.89
12.27,32.32,38.98,16.43,3.792,38.8
14.33,31.335,36.695,17.64,3.86,33.67
