p_mois,p_vol,p_ash,p_car,p_sul,u_nit
15.55,32.835,30.365,21.25,3.695,1.338
14.555,33.05,32.29,20.105,3.892,1.323
16.63,32.21,33.08,18.08,4.07,1.18
14.705,32.895,31.31,21.09,3.805,1.29
15.615,33.015,31,20.37,3.71,1.304
15.245,30.71,38.025,16.02,3.961,1.155
17.23,32.49,30.545,19.735,3.518,1.306
18.065,32.58,29.44,19.915,3.419,1.29
17.08,32.505,31.65,18.765,3.333,1.272
14.91,30.215,37.735,17.14,3.791,1.2
15.9,32.84,31.26,20,3.535,1.296
15.995,32.945,31.02,20.04,3.561,1.316
15.055,32.105,35.54,17.3,3.36,1.351
13.84,32.12,36,18.04,3.547,1.286
17.595,31.295,33.32,17.79,3.448,1.198
15.585,33.57,30.645,20.2,3.389,1.33
15.54,34.435,33.1,16.925,4.06,1.188
16.02,31.61,33.115,19.255,3.46,1.274
17.15,31.845,31.58,19.425,3.45,1.314
16.675,30.23,35.205,17.89,3.415,1.225
16.13,33.59,35.79,14.49,4.117,1.095
15.895,31.94,31.735,20.43,3.515,1.354
17.19,31.71,31.81,19.29,3.501,1.338
18.02,31.23,32.025,18.725,3.462,1.292
18.83,33.05,31.28,16.84,4.075,1.157
18.905,30.49,31.645,18.96,3.35,1.245
17.74,30.965,32.89,18.405,3.375,1.248
18.095,29.795,34.335,17.775,3.295,1.224
18.035,32.02,33.105,16.84,4.16,1.124
18.23,31.265,31.455,19.05,3.18,1.317
17.445,31.34,32.205,19.01,3.355,1.327
16.38,33.995,31.505,18.12,4.64,1.262
14.105,32.575,32.22,21.1,3.5,1.41
15.415,32.125,32.55,19.91,3.615,1.349
15.155,32.47,32.7,19.675,3.6,1.359
18.315,32.17,33.03,16.485,4.2,1.186
16.64,31.495,32.505,19.36,3.424,1.356
17.27,31.55,29.915,21.265,3.477,1.377
17.905,31.51,29.94,20.645,3.547,1.383
15.835,32.955,34.935,16.275,4.52,1.174
16.01,30.49,34.17,19.33,3.82,1.286
16,32.125,33.7,18.175,3.475,1.338
14.08,31.99,36.265,17.665,4.309,1.211
