p_mois,p_vol,p_ash,p_car,p_sul,u_hyd
16.9,34.65,27.6,20.85,2.88,4.68
15.73,34.41,30.87,19,3.09,4.35
14.33,34.9,28.84,21.94,2.8,4.49
12.32,34.68,33.84,19.17,2.7,4.15
11.01,34.57,33.36,21.07,3.76,4.15
12.69,35.21,32.08,20.02,3.6,4.31
10.99,32.56,35.98,20.48,3,4.06
9.64,35.33,31.42,23.62,3.04,4.14
11.78,35.47,31.18,21.58,3.62,4.25
10.25,35.54,31.88,22.34,3.1,4.03
9.54,36.6,33.64,20.23,3.87,3.96
8.63,36.23,31.56,23.59,3.95,4.08
9.94,33.47,38.13,18.46,3.36,3.77
14.05,34.95,32.18,18.83,4.27,4.42
11.36,34.98,31.77,21.89,3.15,4.07
11.93,35.24,33.14,19.7,3.19,4.11
13.67,35.56,30.66,20.11,3.14,4.19
14.75,35,30.94,19.31,4.2,4.42
16.33,35.48,27.41,20.78,3.49,4.47
13.04,34.2,34.36,18.4,3.79,4.18
14.21,32.89,34.38,18.52,3.39,4.24
14.57,34.7,32.39,18.34,3.6,4.27
11.74,33.82,36.35,18.09,2.96,3.97
13.33,34.45,32,20.22,3.19,4.4
12.88,34.6,33.57,18.95,3.34,4.17
12.68,35.25,33.53,18.54,2.92,4.28
14.21,35.52,28.44,21.83,3.21,4.49
13.49,34.26,32.94,19.31,3.02,4.31
14.32,33.39,31.34,20.95,3.08,4.46
13.36,34.56,30.28,21.8,3.49,4.43
13.31,34.95,28.84,22.9,3.37,4.46
10.61,34.08,34.75,20.56,3.08,4.1
14.98,33.86,28.82,22.34,3.73,4.39
14.1,33.66,30.74,21.5,3.46,4.15
13.98,34.6,28.68,22.74,3.68,4.48
14.19,35.46,27.86,22.49,3.56,4.5
13.04,35.55,28.85,22.56,4.05,4.39
12.96,33.76,31.71,21.57,4.35,4.35
11.45,33.87,32.6,22.08,3.46,4.26
12.19,33.09,29.86,24.86,3.45,4.41
9.5,35.89,31.14,23.47,3.38,4.12
10.3,36.06,31.25,22.39,3.53,4.16
9.15,35.62,28.31,26.92,3.08,4.19
10.34,36.66,27.91,25.09,2.87,4.31
12.72,37.7,25.2,24.38,2.81,4.59
12.32,36.47,26.42,24.79,2.95,4.45
9.95,36.67,28.81,24.57,2.71,4.23
10.18,36.02,28.64,25.16,3.18,4.18
11.63,35.7,26.79,25.88,3.34,4.35
15.68,36.27,25.41,22.64,3.17,4.64
13.66,34.07,31.89,20.38,3.31,4.29
11.34,35.26,30.25,23.15,3.68,4.23
13.16,34.67,31.5,20.67,3.58,4.26
13.31,35.91,26.55,24.23,3.15,4.51
13.2,35.78,31.08,19.94,3.39,4.34
15.42,35.13,27.02,22.43,3.77,4.62
17.05,34.04,26.03,22.88,3.21,4.81
16.8,34.59,25.19,23.42,3.54,4.86
16.48,34.77,24.72,24.03,3.39,4.8
15.91,35.04,22.09,26.96,2.42,5.03
15.63,34.44,26.4,23.53,3.25,4.76
14,33.95,29.37,22.68,2.99,4.5
16.05,33.98,28.15,21.82,2.52,4.74
15.66,35.11,26.37,22.86,2.7,4.48
13.8,32.69,32.62,20.89,2.8,4.15
14.71,35.23,25.38,24.68,2.93,4.54
14.73,35.37,24.46,25.44,2.54,4.52
14.85,35.53,26,23.62,2.63,4.48
17.66,34.24,25.11,22.99,2.92,4.77
15.89,33.88,26.81,23.42,3.04,4.56
17.33,34.88,22.9,24.89,2.83,4.84
9.94,37.7,29.81,22.55,3.18,4.01
