p_mois,p_vol,p_ash,p_car,p_sul,p_hhv,u_car,u_hyd,u_nit
11.12,35.32,29.3,24.26,3.87,4044.1,42.09,4.26,1.29
16.11,35.34,24.9,23.65,3.07,3903.7,41.77,4.73,1.32
13.53,33.1,34.02,19.35,3.18,3380.4,36.08,4.22,1.22
10.91,35.28,30.57,23.24,3.72,3907.1,41.39,4.19,1.35
13.71,35.61,26.94,23.74,3.13,3983.2,42.15,4.49,1.41
13.07,36.95,28.68,21.3,3.33,3852.9,41.16,4.41,1.27
16.24,35.28,26.27,22.21,3.2,3811.2,40.79,4.71,1.22
16.09,33.78,27.09,23.04,3.5,3825,40.79,4.7,1.22
17.41,35.06,22.45,25.08,3.12,4034.8,42.84,4.9,1.33
15.91,36.03,20.13,27.93,3.54,4403.2,47.38,5.13,1.41
16.5,35.01,23.79,24.7,2.41,3945.6,42.58,4.81,1.39
15.42,33.95,29.09,21.54,2.8,3700,38.9,4.55,1.27
16.21,35.41,21.36,27.02,2.78,4197.2,44.85,4.89,1.32
16.79,35.19,25.23,22.79,2.58,3755.3,40.48,4.63,1.27
17.28,35.27,22.54,24.91,2.23,3942.6,42,4.75,1.4
17.61,33.67,24.3,24.42,2.9,3832,40.92,4.7,1.29
15.81,34.49,26.63,23.07,3.09,3766.4,40.21,4.48,1.25
14.55,33.8,30.52,21.13,3.16,3628.7,38.42,4.27,1.18
14.56,35.36,25.55,24.53,2.72,3974.1,42.11,4.47,1.31
16.07,35.61,20.41,27.91,2.37,4198.3,44.49,4.74,1.4
16.41,35.83,21.67,26.09,2.63,4110.2,43.82,4.7,1.3
17.89,34.45,22.04,25.62,2.89,4036.2,42.97,4.91,1.43
18.18,34.7,20.89,26.23,2.85,4081.3,43.72,4.93,1.45
16.62,33.36,25.95,24.07,2.91,3819.4,40.3,4.65,1.28
10.75,38.16,24.38,26.71,2.83,4301.1,45.97,4.31,1.48
15.48,34.18,30.92,19.43,3,3496,37.18,4.28,1.3
14.21,34.48,28.49,22.84,2.83,3789.1,40.11,4.46,1.43
12.62,34.55,32.51,20.33,2.75,3558.5,38.27,4.28,1.38
10.89,34.32,33.22,21.58,3.59,3702.7,38.99,4.16,1.36
12.76,35.46,30.7,21.09,3.49,3750.1,40.04,4.37,1.43
12.4,37.35,27.51,22.75,3.45,3941.5,42.4,4.41,1.5
8.97,35.91,32.35,22.78,3.8,3923,42.03,4.06,1.53
9.39,33.23,39.69,17.7,3.18,3263.4,34.47,3.62,1.33
9.38,36.27,35.51,18.85,3.99,3645.1,38.45,3.86,1.42
8.28,34.2,36.61,20.92,3.55,3639.9,38.54,3.74,1.42
10.51,36.79,30.88,21.83,3.77,3916.2,41.53,4.11,1.48
12.62,34.55,32.67,20.18,3.96,3613.8,38.2,4.12,1.32
12.66,34.42,35.35,17.58,2.16,3408.4,36.32,4.1,1.28
13.97,35.83,29.49,20.73,3.94,3764.9,40.17,4.5,1.41
11,34.67,34.34,20,3.27,3575.5,37.49,4,1.46
12.19,34.93,33.24,19.65,3.24,3556.6,37.5,4.14,1.37
13.35,34.77,31.91,19.98,3.32,3554.3,37.92,4.23,1.36
15.08,33.54,32.34,19.04,4.21,3507.8,36.46,4.37,1.26
15.43,34.91,28.92,20.74,3.54,3676.7,38.04,4.42,1.33
13.23,36.39,30.27,20.11,4.06,3759.5,40.26,4.37,1.38
13.82,33.56,34.46,18.16,3.54,3367.4,36.18,4.27,1.31
14.32,33.17,33.91,18.6,3.51,3359.8,35.7,4.22,1.24
12.34,34.23,35.75,17.68,2.99,3261.9,35.43,4,1.27
11.5,33.89,36.73,17.88,2.85,3222.1,34.81,3.94,1.3
13.17,33.34,33.54,19.95,3.14,3469.8,37.5,4.35,1.37
12.23,33.61,36.63,17.53,3.19,3227.8,34.47,3.98,1.22
13,36.05,34.95,16,4.03,3400.7,36.32,4.15,1.26
13.89,33.67,35.41,17.03,3.23,3235,34.63,4.22,1.23
15.41,33.91,30.05,20.63,3.23,3586.7,38,4.53,1.31
14.02,33.7,33.28,19,3.05,3423.4,36.51,4.3,1.32
13.82,33.24,31.45,21.49,3.08,3651.4,38.65,4.45,1.35
13.32,34.09,30.79,21.8,3.51,3784.2,39.72,4.46,1.41
13.38,34.66,29.52,22.44,3.32,3808.7,41.31,4.5,1.45
11.46,34.37,31.92,22.25,3.33,3762.6,39.76,4.28,1.46
14.98,33.98,28.24,22.8,3.46,3832.8,39.47,4.5,1.38
13.73,33.45,31.91,20.91,3.47,3618.5,35.96,4.14,1.32
13.46,34.31,29.07,23.16,3.62,3861.8,40.98,4.46,1.4
14.03,35.64,28.04,22.29,3.8,3873,41.34,4.48,1.45
12.79,35.08,29.06,23.07,3.85,3920.9,41.11,4.39,1.43
13.18,33.71,31.58,21.53,3.92,3711.7,39.11,4.36,1.36
11.75,33.75,33.38,21.12,3.44,3690.4,39.13,4.25,1.39
12.8,35.32,28.27,23.61,3.35,3929.6,41.89,4.43,1.61
9.88,35.28,34.74,20.1,3.27,3563.4,38.58,3.91,1.42
12.04,36.87,28.34,22.75,3.36,3937.4,41.88,4.26,1.43
9.44,37,30.37,23.19,3.68,4090.3,42.95,3.99,1.43
9.24,35.63,33.59,21.54,2.83,3679.2,39.5,3.86,1.31
9.61,36.67,28.77,24.95,2.85,4101.5,43.45,4.04,1.48
10.14,37.27,24.85,27.74,3.06,4378.9,47.38,4.46,1.56
9.04,35.5,28.34,27.12,3.06,4228.8,45.12,4.19,1.59
10.52,36.75,28.07,24.66,2.87,4030.3,43.62,4.26,1.42
11.39,37.7,23.96,26.95,3.25,4359.5,46.66,4.5,1.64
11.86,38.05,25.04,25.05,2.81,4158.8,45.09,4.47,1.51
10.6,36.2,31.8,21.4,3.13,3786,40.52,4.1,1.26
10.37,36.37,28.02,25.24,2.89,4053.6,43.69,4.29,1.42
10.28,34.8,32.92,22,3.31,3806.1,40.85,4.14,1.31
10.13,36.37,28.68,24.82,2.95,4033.1,43.14,4.14,1.43
13.23,34.85,29.82,22.1,3.33,3774.7,40.7,4.36,1.26
12.64,36.57,29.48,21.31,3.13,3782,41.19,4.38,1.31
12.79,36.45,30.99,19.77,3.31,3680.5,39.41,4.27,1.2
15.14,35.02,27.75,22.09,3.46,3776.3,40.13,4.58,1.16
16.89,33.36,26.63,23.12,3.27,3784.5,39.99,4.78,1.23
16.11,34.18,26.41,23.3,3.46,3888,41.41,4.72,1.29
16.77,34.66,24.7,23.87,3.52,3948.4,41.54,4.83,1.24
15.37,36,21.66,26.97,2.3,4159,45.11,4.95,1.46
15.71,34.92,27.66,21.71,3,3731.1,39.49,2.58,1.26
14.27,33.84,29.48,22.41,2.86,3714.1,39.39,4.43,1.09
17.61,34.12,23.68,24.59,2.52,3884.8,41.46,4.83,1.35
15.73,34.66,27.11,22.5,2.58,3746.5,39.89,4.44,1.33
15.36,35.59,25.34,23.71,3.03,3908.5,41.63,4.57,1.3
14.18,35.17,26.89,23.76,2.61,3859.7,40.96,4.37,1.26
16.45,33.66,28.1,21.79,2.71,3587.5,38.41,4.49,1.24
13.82,32.66,33.69,19.83,2.85,3403.1,36.35,4.1,1.15
14.57,35.38,25.26,24.79,2.52,3997,41.85,4.45,1.32
14.88,35.27,25.39,24.46,2.65,3971.9,41.73,4.52,1.33
